Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Dominica,15.415,-61.371,2020-03-11,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-12,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-13,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-14,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-15,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-16,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-17,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-18,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-19,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-20,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-21,0,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-22,1,0,", Dominica",71986.0,1,0,0,0
,Dominica,15.415,-61.371,2020-03-23,2,0,", Dominica",71986.0,1,0,0,0
,Dominica,15.415,-61.371,2020-03-24,2,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-03-25,7,0,", Dominica",71986.0,5,0,1,0
,Dominica,15.415,-61.371,2020-03-26,11,0,", Dominica",71986.0,4,0,1,0
,Dominica,15.415,-61.371,2020-03-27,11,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-03-28,11,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-03-29,11,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-03-30,11,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-03-31,12,0,", Dominica",71986.0,1,0,1,0
,Dominica,15.415,-61.371,2020-04-01,12,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-02,12,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-03,12,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-04,14,0,", Dominica",71986.0,2,0,0,0
,Dominica,15.415,-61.371,2020-04-05,14,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-06,15,0,", Dominica",71986.0,1,0,0,0
,Dominica,15.415,-61.371,2020-04-07,15,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-08,15,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-09,15,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-10,16,0,", Dominica",71986.0,1,0,0,0
,Dominica,15.415,-61.371,2020-04-11,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-12,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-13,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-14,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-15,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-16,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-17,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-18,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-19,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-20,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-21,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-22,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-23,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-24,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-25,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-26,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-27,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-28,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-29,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-04-30,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-01,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-02,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-03,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-04,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-05,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-06,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-07,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-08,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-09,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-10,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-11,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-12,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-13,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-14,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-15,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-16,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-17,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-18,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-19,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-20,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-21,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-22,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-23,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-24,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-25,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-26,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-27,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-28,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-29,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-30,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-05-31,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-01,16,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-02,18,0,", Dominica",71986.0,2,0,0,0
,Dominica,15.415,-61.371,2020-06-03,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-04,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-05,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-06,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-07,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-08,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-09,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-10,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-11,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-12,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-13,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-14,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-15,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-16,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-17,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-18,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-19,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-20,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-21,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-22,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-23,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-24,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-25,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-26,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-27,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-28,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-29,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-06-30,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-01,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-02,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-03,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-04,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-05,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-06,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-07,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-08,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-09,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-10,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-11,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-12,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-13,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-14,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-15,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-16,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-17,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-18,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-19,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-20,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-21,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-22,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-23,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-24,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-25,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-26,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-27,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-28,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-29,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-30,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-07-31,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-01,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-02,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-03,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-04,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-05,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-06,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-07,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-08,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-09,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-10,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-11,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-12,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-13,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-14,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-15,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-16,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-17,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-18,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-19,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-20,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-21,18,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-22,19,0,", Dominica",71986.0,1,0,0,0
,Dominica,15.415,-61.371,2020-08-23,19,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-24,20,0,", Dominica",71986.0,1,0,0,0
,Dominica,15.415,-61.371,2020-08-25,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-26,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-27,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-28,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-29,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-30,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-08-31,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-01,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-02,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-03,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-04,20,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-05,22,0,", Dominica",71986.0,2,0,0,0
,Dominica,15.415,-61.371,2020-09-06,22,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-07,22,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-08,22,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-09,22,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-10,24,0,", Dominica",71986.0,2,0,0,0
,Dominica,15.415,-61.371,2020-09-11,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-12,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-13,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-14,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-15,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-16,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-17,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-18,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-19,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-20,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-21,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-22,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-23,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-24,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-25,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-26,24,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-27,30,0,", Dominica",71986.0,6,0,0,0
,Dominica,15.415,-61.371,2020-09-28,30,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-29,30,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-09-30,30,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-01,31,0,", Dominica",71986.0,1,0,1,0
,Dominica,15.415,-61.371,2020-10-02,31,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-10-03,31,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-10-04,31,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-05,31,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-06,31,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-07,31,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-08,31,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-09,32,0,", Dominica",71986.0,1,0,0,0
,Dominica,15.415,-61.371,2020-10-10,32,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-11,32,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-12,32,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-13,32,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-14,32,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-15,33,0,", Dominica",71986.0,1,0,0,0
,Dominica,15.415,-61.371,2020-10-16,33,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-17,33,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-18,33,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-19,33,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-20,33,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-21,33,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-22,33,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-23,37,0,", Dominica",71986.0,4,0,0,0
,Dominica,15.415,-61.371,2020-10-24,38,0,", Dominica",71986.0,1,0,0,0
,Dominica,15.415,-61.371,2020-10-25,38,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-26,38,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-27,38,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-28,38,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-29,38,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-10-30,42,0,", Dominica",71986.0,4,0,0,0
,Dominica,15.415,-61.371,2020-10-31,50,0,", Dominica",71986.0,8,0,1,0
,Dominica,15.415,-61.371,2020-11-01,50,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-11-02,50,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-11-03,50,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-11-04,50,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-11-05,57,0,", Dominica",71986.0,7,0,2,0
,Dominica,15.415,-61.371,2020-11-06,57,0,", Dominica",71986.0,0,0,2,0
,Dominica,15.415,-61.371,2020-11-07,63,0,", Dominica",71986.0,6,0,1,0
,Dominica,15.415,-61.371,2020-11-08,63,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-11-09,63,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-11-10,63,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-11-11,68,0,", Dominica",71986.0,5,0,2,0
,Dominica,15.415,-61.371,2020-11-12,68,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-11-13,68,0,", Dominica",71986.0,0,0,1,0
,Dominica,15.415,-61.371,2020-11-14,68,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-11-15,68,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-11-16,68,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-11-17,68,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-11-18,68,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-11-19,68,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-11-20,68,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-11-21,72,0,", Dominica",71986.0,4,0,0,0
,Dominica,15.415,-61.371,2020-11-22,72,0,", Dominica",71986.0,0,0,0,0
,Dominica,15.415,-61.371,2020-11-23,77,0,", Dominica",71986.0,5,0,1,0
