Province_State,Country_Region,Lat,Long,Date,Population,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
New Mexico,US,34.5708167,-105.993007,2020-01-22,333290464,1,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-01-23,333290464,1,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-01-24,333290464,2,1,"New Mexico, US",1,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-01-25,333290464,2,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-01-26,333290464,5,1,"New Mexico, US",3,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-01-27,333290464,5,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-01-28,333290464,5,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-01-29,333290464,6,1,"New Mexico, US",1,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-01-30,333290464,6,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-01-31,333290464,8,1,"New Mexico, US",2,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-01,333290464,8,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-02,333290464,8,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-03,333290464,11,1,"New Mexico, US",3,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-04,333290464,11,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-05,333290464,11,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-06,333290464,12,1,"New Mexico, US",1,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-07,333290464,12,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-08,333290464,12,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-09,333290464,12,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-10,333290464,12,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-11,333290464,13,1,"New Mexico, US",1,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-12,333290464,13,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-13,333290464,14,1,"New Mexico, US",1,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-14,333290464,14,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-15,333290464,14,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-16,333290464,14,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-17,333290464,15,1,"New Mexico, US",1,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-18,333290464,16,1,"New Mexico, US",1,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-19,333290464,16,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-20,333290464,16,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-21,333290464,16,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-22,333290464,16,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-23,333290464,16,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-24,333290464,17,1,"New Mexico, US",1,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-25,333290464,18,1,"New Mexico, US",1,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-26,333290464,19,1,"New Mexico, US",1,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-27,333290464,19,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-28,333290464,19,1,"New Mexico, US",0,0,0,0
New Mexico,US,34.5708167,-105.993007,2020-02-29,333290464,26,2,"New Mexico, US",7,1,1,0
New Mexico,US,34.5708167,-105.993007,2020-03-01,333290464,39,2,"New Mexico, US",13,0,3,0
New Mexico,US,34.5708167,-105.993007,2020-03-02,333290464,57,7,"New Mexico, US",18,5,5,0
New Mexico,US,34.5708167,-105.993007,2020-03-03,333290464,79,8,"New Mexico, US",22,1,8,1
New Mexico,US,34.5708167,-105.993007,2020-03-04,333290464,113,12,"New Mexico, US",34,4,13,1
New Mexico,US,34.5708167,-105.993007,2020-03-05,333290464,184,13,"New Mexico, US",71,1,23,1
New Mexico,US,34.5708167,-105.993007,2020-03-06,333290464,247,15,"New Mexico, US",63,2,32,2
New Mexico,US,34.5708167,-105.993007,2020-03-07,333290464,417,18,"New Mexico, US",170,3,55,2
New Mexico,US,34.5708167,-105.993007,2020-03-08,333290464,538,22,"New Mexico, US",121,4,71,2
New Mexico,US,34.5708167,-105.993007,2020-03-09,333290464,630,24,"New Mexico, US",92,2,81,2
New Mexico,US,34.5708167,-105.993007,2020-03-10,333290464,803,29,"New Mexico, US",173,5,103,3
New Mexico,US,34.5708167,-105.993007,2020-03-11,333290464,1157,34,"New Mexico, US",354,5,149,3
New Mexico,US,34.5708167,-105.993007,2020-03-12,333290464,1633,45,"New Mexico, US",476,11,207,4
New Mexico,US,34.5708167,-105.993007,2020-03-13,333290464,2333,52,"New Mexico, US",700,7,298,5
New Mexico,US,34.5708167,-105.993007,2020-03-14,333290464,3058,62,"New Mexico, US",725,10,377,6
