Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Guangdong,China,23.3417,113.4244,2020-01-22,26,0,"Guangdong, China",104303132.0,0,0,0,0
Guangdong,China,23.3417,113.4244,2020-01-23,32,0,"Guangdong, China",104303132.0,6,0,0,0
Guangdong,China,23.3417,113.4244,2020-01-24,53,0,"Guangdong, China",104303132.0,21,0,0,0
Guangdong,China,23.3417,113.4244,2020-01-25,78,0,"Guangdong, China",104303132.0,25,0,0,0
Guangdong,China,23.3417,113.4244,2020-01-26,111,0,"Guangdong, China",104303132.0,33,0,0,0
Guangdong,China,23.3417,113.4244,2020-01-27,151,0,"Guangdong, China",104303132.0,40,0,0,0
Guangdong,China,23.3417,113.4244,2020-01-28,207,0,"Guangdong, China",104303132.0,56,0,0,0
Guangdong,China,23.3417,113.4244,2020-01-29,277,0,"Guangdong, China",104303132.0,70,0,35,0
Guangdong,China,23.3417,113.4244,2020-01-30,354,0,"Guangdong, China",104303132.0,77,0,46,0
Guangdong,China,23.3417,113.4244,2020-01-31,436,0,"Guangdong, China",104303132.0,82,0,54,0
Guangdong,China,23.3417,113.4244,2020-02-01,535,0,"Guangdong, China",104303132.0,99,0,65,0
Guangdong,China,23.3417,113.4244,2020-02-02,632,0,"Guangdong, China",104303132.0,97,0,74,0
Guangdong,China,23.3417,113.4244,2020-02-03,725,0,"Guangdong, China",104303132.0,93,0,82,0
Guangdong,China,23.3417,113.4244,2020-02-04,813,0,"Guangdong, China",104303132.0,88,0,86,0
Guangdong,China,23.3417,113.4244,2020-02-05,895,0,"Guangdong, China",104303132.0,82,0,88,0
Guangdong,China,23.3417,113.4244,2020-02-06,970,0,"Guangdong, China",104303132.0,75,0,88,0
Guangdong,China,23.3417,113.4244,2020-02-07,1034,1,"Guangdong, China",104303132.0,64,1,85,0
Guangdong,China,23.3417,113.4244,2020-02-08,1095,1,"Guangdong, China",104303132.0,61,0,80,0
Guangdong,China,23.3417,113.4244,2020-02-09,1131,1,"Guangdong, China",104303132.0,36,0,71,0
Guangdong,China,23.3417,113.4244,2020-02-10,1159,1,"Guangdong, China",104303132.0,28,0,62,0
Guangdong,China,23.3417,113.4244,2020-02-11,1177,1,"Guangdong, China",104303132.0,18,0,52,0
Guangdong,China,23.3417,113.4244,2020-02-12,1219,1,"Guangdong, China",104303132.0,42,0,46,0
Guangdong,China,23.3417,113.4244,2020-02-13,1241,2,"Guangdong, China",104303132.0,22,1,38,0
Guangdong,China,23.3417,113.4244,2020-02-14,1261,2,"Guangdong, China",104303132.0,20,0,32,0
Guangdong,China,23.3417,113.4244,2020-02-15,1294,2,"Guangdong, China",104303132.0,33,0,28,0
Guangdong,China,23.3417,113.4244,2020-02-16,1316,2,"Guangdong, China",104303132.0,22,0,26,0
Guangdong,China,23.3417,113.4244,2020-02-17,1322,4,"Guangdong, China",104303132.0,6,2,23,0
Guangdong,China,23.3417,113.4244,2020-02-18,1328,4,"Guangdong, China",104303132.0,6,0,21,0
Guangdong,China,23.3417,113.4244,2020-02-19,1331,5,"Guangdong, China",104303132.0,3,1,16,0
Guangdong,China,23.3417,113.4244,2020-02-20,1332,5,"Guangdong, China",104303132.0,1,0,13,0
Guangdong,China,23.3417,113.4244,2020-02-21,1333,5,"Guangdong, China",104303132.0,1,0,10,0
Guangdong,China,23.3417,113.4244,2020-02-22,1339,5,"Guangdong, China",104303132.0,6,0,6,0
Guangdong,China,23.3417,113.4244,2020-02-23,1342,6,"Guangdong, China",104303132.0,3,1,3,0
Guangdong,China,23.3417,113.4244,2020-02-24,1345,6,"Guangdong, China",104303132.0,3,0,3,0
Guangdong,China,23.3417,113.4244,2020-02-25,1347,7,"Guangdong, China",104303132.0,2,1,2,0
Guangdong,China,23.3417,113.4244,2020-02-26,1347,7,"Guangdong, China",104303132.0,0,0,2,0
Guangdong,China,23.3417,113.4244,2020-02-27,1347,7,"Guangdong, China",104303132.0,0,0,2,0
Guangdong,China,23.3417,113.4244,2020-02-28,1348,7,"Guangdong, China",104303132.0,1,0,2,0
Guangdong,China,23.3417,113.4244,2020-02-29,1349,7,"Guangdong, China",104303132.0,1,0,1,0
Guangdong,China,23.3417,113.4244,2020-03-01,1349,7,"Guangdong, China",104303132.0,0,0,1,0
Guangdong,China,23.3417,113.4244,2020-03-02,1350,7,"Guangdong, China",104303132.0,1,0,0,0
