Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Jiangxi,China,27.614,115.7221,2020-01-22,2,0,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-01-23,7,0,"Jiangxi, China",44567475.0,5,0,0,0
Jiangxi,China,27.614,115.7221,2020-01-24,18,0,"Jiangxi, China",44567475.0,11,0,0,0
Jiangxi,China,27.614,115.7221,2020-01-25,18,0,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-01-26,36,0,"Jiangxi, China",44567475.0,18,0,0,0
Jiangxi,China,27.614,115.7221,2020-01-27,72,0,"Jiangxi, China",44567475.0,36,0,0,0
Jiangxi,China,27.614,115.7221,2020-01-28,109,0,"Jiangxi, China",44567475.0,37,0,0,0
Jiangxi,China,27.614,115.7221,2020-01-29,109,0,"Jiangxi, China",44567475.0,0,0,15,0
Jiangxi,China,27.614,115.7221,2020-01-30,162,0,"Jiangxi, China",44567475.0,53,0,22,0
Jiangxi,China,27.614,115.7221,2020-01-31,240,0,"Jiangxi, China",44567475.0,78,0,31,0
Jiangxi,China,27.614,115.7221,2020-02-01,286,0,"Jiangxi, China",44567475.0,46,0,38,0
Jiangxi,China,27.614,115.7221,2020-02-02,333,0,"Jiangxi, China",44567475.0,47,0,42,0
Jiangxi,China,27.614,115.7221,2020-02-03,391,0,"Jiangxi, China",44567475.0,58,0,45,0
Jiangxi,China,27.614,115.7221,2020-02-04,476,0,"Jiangxi, China",44567475.0,85,0,52,0
Jiangxi,China,27.614,115.7221,2020-02-05,548,0,"Jiangxi, China",44567475.0,72,0,62,0
Jiangxi,China,27.614,115.7221,2020-02-06,600,0,"Jiangxi, China",44567475.0,52,0,62,0
Jiangxi,China,27.614,115.7221,2020-02-07,661,0,"Jiangxi, China",44567475.0,61,0,60,0
Jiangxi,China,27.614,115.7221,2020-02-08,698,0,"Jiangxi, China",44567475.0,37,0,58,0
Jiangxi,China,27.614,115.7221,2020-02-09,740,0,"Jiangxi, China",44567475.0,42,0,58,0
Jiangxi,China,27.614,115.7221,2020-02-10,771,1,"Jiangxi, China",44567475.0,31,1,54,0
Jiangxi,China,27.614,115.7221,2020-02-11,804,1,"Jiangxi, China",44567475.0,33,0,46,0
Jiangxi,China,27.614,115.7221,2020-02-12,844,1,"Jiangxi, China",44567475.0,40,0,42,0
Jiangxi,China,27.614,115.7221,2020-02-13,872,1,"Jiangxi, China",44567475.0,28,0,38,0
Jiangxi,China,27.614,115.7221,2020-02-14,900,1,"Jiangxi, China",44567475.0,28,0,34,0
Jiangxi,China,27.614,115.7221,2020-02-15,913,1,"Jiangxi, China",44567475.0,13,0,30,0
Jiangxi,China,27.614,115.7221,2020-02-16,925,1,"Jiangxi, China",44567475.0,12,0,26,0
Jiangxi,China,27.614,115.7221,2020-02-17,930,1,"Jiangxi, China",44567475.0,5,0,22,0
Jiangxi,China,27.614,115.7221,2020-02-18,933,1,"Jiangxi, China",44567475.0,3,0,18,0
Jiangxi,China,27.614,115.7221,2020-02-19,934,1,"Jiangxi, China",44567475.0,1,0,12,0
Jiangxi,China,27.614,115.7221,2020-02-20,934,1,"Jiangxi, China",44567475.0,0,0,8,0
Jiangxi,China,27.614,115.7221,2020-02-21,934,1,"Jiangxi, China",44567475.0,0,0,4,0
Jiangxi,China,27.614,115.7221,2020-02-22,934,1,"Jiangxi, China",44567475.0,0,0,3,0
Jiangxi,China,27.614,115.7221,2020-02-23,934,1,"Jiangxi, China",44567475.0,0,0,1,0
Jiangxi,China,27.614,115.7221,2020-02-24,934,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-02-25,934,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-02-26,934,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-02-27,934,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-02-28,935,1,"Jiangxi, China",44567475.0,1,0,0,0
Jiangxi,China,27.614,115.7221,2020-02-29,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-01,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-02,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-03,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-04,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-05,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-06,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-07,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-08,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-09,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-10,935,1,"Jiangxi, China",44567475.0,0,0,0,0
Jiangxi,China,27.614,115.7221,2020-03-11,935,1,"Jiangxi, China",44567475.0,0,0,0,0
