Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Jiangsu,China,32.9711,119.455,2020-01-22,1,0,"Jiangsu, China",78659903.0,0,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-23,5,0,"Jiangsu, China",78659903.0,4,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-24,9,0,"Jiangsu, China",78659903.0,4,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-25,18,0,"Jiangsu, China",78659903.0,9,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-26,33,0,"Jiangsu, China",78659903.0,15,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-27,47,0,"Jiangsu, China",78659903.0,14,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-28,70,0,"Jiangsu, China",78659903.0,23,0,0,0
Jiangsu,China,32.9711,119.455,2020-01-29,99,0,"Jiangsu, China",78659903.0,29,0,14,0
Jiangsu,China,32.9711,119.455,2020-01-30,129,0,"Jiangsu, China",78659903.0,30,0,17,0
Jiangsu,China,32.9711,119.455,2020-01-31,168,0,"Jiangsu, China",78659903.0,39,0,22,0
Jiangsu,China,32.9711,119.455,2020-02-01,202,0,"Jiangsu, China",78659903.0,34,0,26,0
Jiangsu,China,32.9711,119.455,2020-02-02,236,0,"Jiangsu, China",78659903.0,34,0,29,0
Jiangsu,China,32.9711,119.455,2020-02-03,271,0,"Jiangsu, China",78659903.0,35,0,32,0
Jiangsu,China,32.9711,119.455,2020-02-04,308,0,"Jiangsu, China",78659903.0,37,0,34,0
Jiangsu,China,32.9711,119.455,2020-02-05,341,0,"Jiangsu, China",78659903.0,33,0,34,0
Jiangsu,China,32.9711,119.455,2020-02-06,373,0,"Jiangsu, China",78659903.0,32,0,34,0
Jiangsu,China,32.9711,119.455,2020-02-07,408,0,"Jiangsu, China",78659903.0,35,0,34,0
Jiangsu,China,32.9711,119.455,2020-02-08,439,0,"Jiangsu, China",78659903.0,31,0,33,0
Jiangsu,China,32.9711,119.455,2020-02-09,468,0,"Jiangsu, China",78659903.0,29,0,33,0
Jiangsu,China,32.9711,119.455,2020-02-10,492,0,"Jiangsu, China",78659903.0,24,0,31,0
Jiangsu,China,32.9711,119.455,2020-02-11,515,0,"Jiangsu, China",78659903.0,23,0,29,0
Jiangsu,China,32.9711,119.455,2020-02-12,543,0,"Jiangsu, China",78659903.0,28,0,28,0
Jiangsu,China,32.9711,119.455,2020-02-13,570,0,"Jiangsu, China",78659903.0,27,0,28,0
Jiangsu,China,32.9711,119.455,2020-02-14,593,0,"Jiangsu, China",78659903.0,23,0,26,0
Jiangsu,China,32.9711,119.455,2020-02-15,604,0,"Jiangsu, China",78659903.0,11,0,23,0
Jiangsu,China,32.9711,119.455,2020-02-16,617,0,"Jiangsu, China",78659903.0,13,0,21,0
Jiangsu,China,32.9711,119.455,2020-02-17,626,0,"Jiangsu, China",78659903.0,9,0,19,0
Jiangsu,China,32.9711,119.455,2020-02-18,629,0,"Jiangsu, China",78659903.0,3,0,16,0
Jiangsu,China,32.9711,119.455,2020-02-19,631,0,"Jiangsu, China",78659903.0,2,0,12,0
Jiangsu,China,32.9711,119.455,2020-02-20,631,0,"Jiangsu, China",78659903.0,0,0,8,0
Jiangsu,China,32.9711,119.455,2020-02-21,631,0,"Jiangsu, China",78659903.0,0,0,5,0
Jiangsu,China,32.9711,119.455,2020-02-22,631,0,"Jiangsu, China",78659903.0,0,0,3,0
