Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Taiwan,23.7,121.0,2020-01-22,1,0,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-01-23,1,0,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-01-24,3,0,", Taiwan",23816775.0,2,0,0,0
,Taiwan,23.7,121.0,2020-01-25,3,0,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-01-26,4,0,", Taiwan",23816775.0,1,0,0,0
,Taiwan,23.7,121.0,2020-01-27,5,0,", Taiwan",23816775.0,1,0,0,0
,Taiwan,23.7,121.0,2020-01-28,8,0,", Taiwan",23816775.0,3,0,0,0
,Taiwan,23.7,121.0,2020-01-29,8,0,", Taiwan",23816775.0,0,0,1,0
,Taiwan,23.7,121.0,2020-01-30,9,0,", Taiwan",23816775.0,1,0,1,0
,Taiwan,23.7,121.0,2020-01-31,10,0,", Taiwan",23816775.0,1,0,1,0
,Taiwan,23.7,121.0,2020-02-01,10,0,", Taiwan",23816775.0,0,0,1,0
,Taiwan,23.7,121.0,2020-02-02,10,0,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-02-03,10,0,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-02-04,11,0,", Taiwan",23816775.0,1,0,0,0
,Taiwan,23.7,121.0,2020-02-05,11,0,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-02-06,16,0,", Taiwan",23816775.0,5,0,1,0
,Taiwan,23.7,121.0,2020-02-07,16,0,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-02-08,17,0,", Taiwan",23816775.0,1,0,1,0
,Taiwan,23.7,121.0,2020-02-09,18,0,", Taiwan",23816775.0,1,0,1,0
,Taiwan,23.7,121.0,2020-02-10,18,0,", Taiwan",23816775.0,0,0,1,0
,Taiwan,23.7,121.0,2020-02-11,18,0,", Taiwan",23816775.0,0,0,1,0
,Taiwan,23.7,121.0,2020-02-12,18,0,", Taiwan",23816775.0,0,0,1,0
,Taiwan,23.7,121.0,2020-02-13,18,0,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-02-14,18,0,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-02-15,18,0,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-02-16,20,1,", Taiwan",23816775.0,2,1,0,0
,Taiwan,23.7,121.0,2020-02-17,22,1,", Taiwan",23816775.0,2,0,0,0
,Taiwan,23.7,121.0,2020-02-18,22,1,", Taiwan",23816775.0,0,0,0,0
,Taiwan,23.7,121.0,2020-02-19,23,1,", Taiwan",23816775.0,1,0,0,0
,Taiwan,23.7,121.0,2020-02-20,24,1,", Taiwan",23816775.0,1,0,0,0
,Taiwan,23.7,121.0,2020-02-21,26,1,", Taiwan",23816775.0,2,0,1,0
,Taiwan,23.7,121.0,2020-02-22,26,1,", Taiwan",23816775.0,0,0,1,0
,Taiwan,23.7,121.0,2020-02-23,28,1,", Taiwan",23816775.0,2,0,1,0
,Taiwan,23.7,121.0,2020-02-24,30,1,", Taiwan",23816775.0,2,0,1,0
,Taiwan,23.7,121.0,2020-02-25,31,1,", Taiwan",23816775.0,1,0,1,0
,Taiwan,23.7,121.0,2020-02-26,32,1,", Taiwan",23816775.0,1,0,1,0
,Taiwan,23.7,121.0,2020-02-27,32,1,", Taiwan",23816775.0,0,0,1,0
,Taiwan,23.7,121.0,2020-02-28,34,1,", Taiwan",23816775.0,2,0,1,0
,Taiwan,23.7,121.0,2020-02-29,39,1,", Taiwan",23816775.0,5,0,1,0
,Taiwan,23.7,121.0,2020-03-01,40,1,", Taiwan",23816775.0,1,0,1,0
,Taiwan,23.7,121.0,2020-03-02,41,1,", Taiwan",23816775.0,1,0,1,0
,Taiwan,23.7,121.0,2020-03-03,42,1,", Taiwan",23816775.0,1,0,1,0
