Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Liaoning,China,41.2956,122.6085,2020-01-22,2,0,"Liaoning, China",43746323.0,0,0,0,0
Liaoning,China,41.2956,122.6085,2020-01-23,3,0,"Liaoning, China",43746323.0,1,0,0,0
Liaoning,China,41.2956,122.6085,2020-01-24,4,0,"Liaoning, China",43746323.0,1,0,0,0
Liaoning,China,41.2956,122.6085,2020-01-25,17,0,"Liaoning, China",43746323.0,13,0,0,0
Liaoning,China,41.2956,122.6085,2020-01-26,21,0,"Liaoning, China",43746323.0,4,0,0,0
Liaoning,China,41.2956,122.6085,2020-01-27,27,0,"Liaoning, China",43746323.0,6,0,0,0
Liaoning,China,41.2956,122.6085,2020-01-28,34,0,"Liaoning, China",43746323.0,7,0,0,0
Liaoning,China,41.2956,122.6085,2020-01-29,39,0,"Liaoning, China",43746323.0,5,0,5,0
Liaoning,China,41.2956,122.6085,2020-01-30,41,0,"Liaoning, China",43746323.0,2,0,5,0
Liaoning,China,41.2956,122.6085,2020-01-31,48,0,"Liaoning, China",43746323.0,7,0,6,0
Liaoning,China,41.2956,122.6085,2020-02-01,64,0,"Liaoning, China",43746323.0,16,0,6,0
Liaoning,China,41.2956,122.6085,2020-02-02,70,0,"Liaoning, China",43746323.0,6,0,7,0
Liaoning,China,41.2956,122.6085,2020-02-03,74,0,"Liaoning, China",43746323.0,4,0,6,0
Liaoning,China,41.2956,122.6085,2020-02-04,81,0,"Liaoning, China",43746323.0,7,0,6,0
Liaoning,China,41.2956,122.6085,2020-02-05,89,0,"Liaoning, China",43746323.0,8,0,7,0
Liaoning,China,41.2956,122.6085,2020-02-06,94,0,"Liaoning, China",43746323.0,5,0,7,0
Liaoning,China,41.2956,122.6085,2020-02-07,99,0,"Liaoning, China",43746323.0,5,0,7,0
Liaoning,China,41.2956,122.6085,2020-02-08,105,0,"Liaoning, China",43746323.0,6,0,5,0
Liaoning,China,41.2956,122.6085,2020-02-09,107,0,"Liaoning, China",43746323.0,2,0,5,0
Liaoning,China,41.2956,122.6085,2020-02-10,108,0,"Liaoning, China",43746323.0,1,0,4,0
Liaoning,China,41.2956,122.6085,2020-02-11,111,0,"Liaoning, China",43746323.0,3,0,4,0
Liaoning,China,41.2956,122.6085,2020-02-12,116,1,"Liaoning, China",43746323.0,5,1,3,0
Liaoning,China,41.2956,122.6085,2020-02-13,117,1,"Liaoning, China",43746323.0,1,0,3,0
Liaoning,China,41.2956,122.6085,2020-02-14,119,1,"Liaoning, China",43746323.0,2,0,2,0
Liaoning,China,41.2956,122.6085,2020-02-15,119,1,"Liaoning, China",43746323.0,0,0,2,0
Liaoning,China,41.2956,122.6085,2020-02-16,121,1,"Liaoning, China",43746323.0,2,0,2,0
Liaoning,China,41.2956,122.6085,2020-02-17,121,1,"Liaoning, China",43746323.0,0,0,1,0
Liaoning,China,41.2956,122.6085,2020-02-18,121,1,"Liaoning, China",43746323.0,0,0,1,0
