Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Hainan,China,19.1959,109.7453,2020-01-22,4,0,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-01-23,5,0,"Hainan, China",9261518.0,1,0,0,0
Hainan,China,19.1959,109.7453,2020-01-24,8,0,"Hainan, China",9261518.0,3,0,0,0
Hainan,China,19.1959,109.7453,2020-01-25,19,0,"Hainan, China",9261518.0,11,0,0,0
Hainan,China,19.1959,109.7453,2020-01-26,22,0,"Hainan, China",9261518.0,3,0,0,0
Hainan,China,19.1959,109.7453,2020-01-27,33,1,"Hainan, China",9261518.0,11,1,0,0
Hainan,China,19.1959,109.7453,2020-01-28,40,1,"Hainan, China",9261518.0,7,0,0,0
Hainan,China,19.1959,109.7453,2020-01-29,43,1,"Hainan, China",9261518.0,3,0,5,0
Hainan,China,19.1959,109.7453,2020-01-30,46,1,"Hainan, China",9261518.0,3,0,5,0
Hainan,China,19.1959,109.7453,2020-01-31,52,1,"Hainan, China",9261518.0,6,0,6,0
Hainan,China,19.1959,109.7453,2020-02-01,62,1,"Hainan, China",9261518.0,10,0,6,0
Hainan,China,19.1959,109.7453,2020-02-02,64,1,"Hainan, China",9261518.0,2,0,6,0
Hainan,China,19.1959,109.7453,2020-02-03,72,1,"Hainan, China",9261518.0,8,0,5,0
Hainan,China,19.1959,109.7453,2020-02-04,80,1,"Hainan, China",9261518.0,8,0,5,0
Hainan,China,19.1959,109.7453,2020-02-05,99,1,"Hainan, China",9261518.0,19,0,8,0
Hainan,China,19.1959,109.7453,2020-02-06,106,1,"Hainan, China",9261518.0,7,0,8,0
Hainan,China,19.1959,109.7453,2020-02-07,117,2,"Hainan, China",9261518.0,11,1,9,0
Hainan,China,19.1959,109.7453,2020-02-08,124,2,"Hainan, China",9261518.0,7,0,8,0
Hainan,China,19.1959,109.7453,2020-02-09,131,3,"Hainan, China",9261518.0,7,1,9,0
Hainan,China,19.1959,109.7453,2020-02-10,138,3,"Hainan, China",9261518.0,7,0,9,0
Hainan,China,19.1959,109.7453,2020-02-11,144,3,"Hainan, China",9261518.0,6,0,9,0
Hainan,China,19.1959,109.7453,2020-02-12,157,4,"Hainan, China",9261518.0,13,1,8,0
Hainan,China,19.1959,109.7453,2020-02-13,157,4,"Hainan, China",9261518.0,0,0,7,0
Hainan,China,19.1959,109.7453,2020-02-14,159,4,"Hainan, China",9261518.0,2,0,6,0
Hainan,China,19.1959,109.7453,2020-02-15,162,4,"Hainan, China",9261518.0,3,0,5,0
Hainan,China,19.1959,109.7453,2020-02-16,162,4,"Hainan, China",9261518.0,0,0,4,0
Hainan,China,19.1959,109.7453,2020-02-17,163,4,"Hainan, China",9261518.0,1,0,3,0
Hainan,China,19.1959,109.7453,2020-02-18,163,4,"Hainan, China",9261518.0,0,0,2,0
Hainan,China,19.1959,109.7453,2020-02-19,168,4,"Hainan, China",9261518.0,5,0,1,0
Hainan,China,19.1959,109.7453,2020-02-20,168,4,"Hainan, China",9261518.0,0,0,1,0
Hainan,China,19.1959,109.7453,2020-02-21,168,4,"Hainan, China",9261518.0,0,0,1,0
Hainan,China,19.1959,109.7453,2020-02-22,168,4,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-02-23,168,5,"Hainan, China",9261518.0,0,1,0,0
Hainan,China,19.1959,109.7453,2020-02-24,168,5,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-02-25,168,5,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-02-26,168,5,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-02-27,168,5,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-02-28,168,5,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-02-29,168,5,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-01,168,5,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-02,168,5,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-03,168,5,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-04,168,5,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-05,168,6,"Hainan, China",9261518.0,0,1,0,0
Hainan,China,19.1959,109.7453,2020-03-06,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-07,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-08,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-09,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-10,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-11,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-12,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-13,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-14,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-15,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-16,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-17,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-18,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-19,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-20,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-21,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-22,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-23,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-24,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-25,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-26,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-27,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-28,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-29,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-30,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-03-31,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-01,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-02,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-03,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-04,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-05,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-06,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-07,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-08,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-09,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-10,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-11,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-12,168,6,"Hainan, China",9261518.0,0,0,0,0
Hainan,China,19.1959,109.7453,2020-04-13,168,6,"Hainan, China",9261518.0,0,0,0,0
