Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,"South Australia, Australia",1767200.0,,,,
South Australia,Australia,-34.9285,138.6007,2020-01-23,0,0,"South Australia, Australia",1767200.0,0.0,0.0,,
South Australia,Australia,-34.9285,138.6007,2020-01-24,0,0,"South Australia, Australia",1767200.0,0.0,0.0,,
South Australia,Australia,-34.9285,138.6007,2020-01-25,0,0,"South Australia, Australia",1767200.0,0.0,0.0,,
South Australia,Australia,-34.9285,138.6007,2020-01-26,0,0,"South Australia, Australia",1767200.0,0.0,0.0,,
South Australia,Australia,-34.9285,138.6007,2020-01-27,0,0,"South Australia, Australia",1767200.0,0.0,0.0,,
South Australia,Australia,-34.9285,138.6007,2020-01-28,0,0,"South Australia, Australia",1767200.0,0.0,0.0,,
South Australia,Australia,-34.9285,138.6007,2020-01-29,0,0,"South Australia, Australia",1767200.0,0.0,0.0,0.0,0.0
South Australia,Australia,-34.9285,138.6007,2020-01-30,0,0,"South Australia, Australia",1767200.0,0.0,0.0,0.0,0.0
South Australia,Australia,-34.9285,138.6007,2020-01-31,0,0,"South Australia, Australia",1767200.0,0.0,0.0,0.0,0.0
South Australia,Australia,-34.9285,138.6007,2020-02-01,1,0,"South Australia, Australia",1767200.0,1.0,0.0,0.14285714285714285,0.0
South Australia,Australia,-34.9285,138.6007,2020-02-02,2,0,"South Australia, Australia",1767200.0,1.0,0.0,0.2857142857142857,0.0
South Australia,Australia,-34.9285,138.6007,2020-02-03,2,0,"South Australia, Australia",1767200.0,0.0,0.0,0.2857142857142857,0.0
South Australia,Australia,-34.9285,138.6007,2020-02-04,2,0,"South Australia, Australia",1767200.0,0.0,0.0,0.2857142857142857,0.0
South Australia,Australia,-34.9285,138.6007,2020-02-05,2,0,"South Australia, Australia",1767200.0,0.0,0.0,0.2857142857142857,0.0
South Australia,Australia,-34.9285,138.6007,2020-02-06,2,0,"South Australia, Australia",1767200.0,0.0,0.0,0.2857142857142857,0.0
