Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Shanghai,China,31.202,121.4491,2020-01-22,9,0,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-01-23,16,0,"Shanghai, China",23019148.0,7,0,0,0
Shanghai,China,31.202,121.4491,2020-01-24,20,0,"Shanghai, China",23019148.0,4,0,0,0
Shanghai,China,31.202,121.4491,2020-01-25,33,0,"Shanghai, China",23019148.0,13,0,0,0
Shanghai,China,31.202,121.4491,2020-01-26,40,1,"Shanghai, China",23019148.0,7,1,0,0
Shanghai,China,31.202,121.4491,2020-01-27,53,1,"Shanghai, China",23019148.0,13,0,0,0
Shanghai,China,31.202,121.4491,2020-01-28,66,1,"Shanghai, China",23019148.0,13,0,0,0
Shanghai,China,31.202,121.4491,2020-01-29,96,1,"Shanghai, China",23019148.0,30,0,12,0
Shanghai,China,31.202,121.4491,2020-01-30,112,1,"Shanghai, China",23019148.0,16,0,13,0
Shanghai,China,31.202,121.4491,2020-01-31,135,1,"Shanghai, China",23019148.0,23,0,16,0
Shanghai,China,31.202,121.4491,2020-02-01,169,1,"Shanghai, China",23019148.0,34,0,19,0
Shanghai,China,31.202,121.4491,2020-02-02,182,1,"Shanghai, China",23019148.0,13,0,20,0
Shanghai,China,31.202,121.4491,2020-02-03,203,1,"Shanghai, China",23019148.0,21,0,21,0
Shanghai,China,31.202,121.4491,2020-02-04,219,1,"Shanghai, China",23019148.0,16,0,21,0
Shanghai,China,31.202,121.4491,2020-02-05,243,1,"Shanghai, China",23019148.0,24,0,21,0
Shanghai,China,31.202,121.4491,2020-02-06,257,1,"Shanghai, China",23019148.0,14,0,20,0
Shanghai,China,31.202,121.4491,2020-02-07,277,1,"Shanghai, China",23019148.0,20,0,20,0
Shanghai,China,31.202,121.4491,2020-02-08,286,1,"Shanghai, China",23019148.0,9,0,16,0
Shanghai,China,31.202,121.4491,2020-02-09,293,1,"Shanghai, China",23019148.0,7,0,15,0
Shanghai,China,31.202,121.4491,2020-02-10,299,1,"Shanghai, China",23019148.0,6,0,13,0
Shanghai,China,31.202,121.4491,2020-02-11,303,1,"Shanghai, China",23019148.0,4,0,12,0
Shanghai,China,31.202,121.4491,2020-02-12,311,1,"Shanghai, China",23019148.0,8,0,9,0
Shanghai,China,31.202,121.4491,2020-02-13,315,1,"Shanghai, China",23019148.0,4,0,8,0
Shanghai,China,31.202,121.4491,2020-02-14,318,1,"Shanghai, China",23019148.0,3,0,5,0
Shanghai,China,31.202,121.4491,2020-02-15,326,1,"Shanghai, China",23019148.0,8,0,5,0
Shanghai,China,31.202,121.4491,2020-02-16,328,1,"Shanghai, China",23019148.0,2,0,5,0
Shanghai,China,31.202,121.4491,2020-02-17,333,1,"Shanghai, China",23019148.0,5,0,4,0
Shanghai,China,31.202,121.4491,2020-02-18,333,1,"Shanghai, China",23019148.0,0,0,4,0
Shanghai,China,31.202,121.4491,2020-02-19,333,2,"Shanghai, China",23019148.0,0,1,3,0
Shanghai,China,31.202,121.4491,2020-02-20,334,2,"Shanghai, China",23019148.0,1,0,2,0
Shanghai,China,31.202,121.4491,2020-02-21,334,2,"Shanghai, China",23019148.0,0,0,2,0
Shanghai,China,31.202,121.4491,2020-02-22,335,3,"Shanghai, China",23019148.0,1,1,1,0
Shanghai,China,31.202,121.4491,2020-02-23,335,3,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-02-24,335,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-02-25,336,3,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-02-26,337,3,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-02-27,337,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-02-28,337,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-02-29,337,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-03-01,337,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-03-02,337,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-03-03,338,3,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-03-04,338,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-03-05,339,3,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-03-06,342,3,"Shanghai, China",23019148.0,3,0,0,0
Shanghai,China,31.202,121.4491,2020-03-07,342,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-03-08,342,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-03-09,342,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-03-10,344,3,"Shanghai, China",23019148.0,2,0,0,0
Shanghai,China,31.202,121.4491,2020-03-11,344,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-03-12,344,3,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-03-13,346,3,"Shanghai, China",23019148.0,2,0,0,0
Shanghai,China,31.202,121.4491,2020-03-14,353,3,"Shanghai, China",23019148.0,7,0,1,0
Shanghai,China,31.202,121.4491,2020-03-15,353,3,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-03-16,355,3,"Shanghai, China",23019148.0,2,0,1,0
Shanghai,China,31.202,121.4491,2020-03-17,358,3,"Shanghai, China",23019148.0,3,0,2,0
Shanghai,China,31.202,121.4491,2020-03-18,361,3,"Shanghai, China",23019148.0,3,0,2,0
Shanghai,China,31.202,121.4491,2020-03-19,363,3,"Shanghai, China",23019148.0,2,0,2,0
Shanghai,China,31.202,121.4491,2020-03-20,371,3,"Shanghai, China",23019148.0,8,0,3,0
Shanghai,China,31.202,121.4491,2020-03-21,380,3,"Shanghai, China",23019148.0,9,0,3,0
Shanghai,China,31.202,121.4491,2020-03-22,404,4,"Shanghai, China",23019148.0,24,1,7,0
Shanghai,China,31.202,121.4491,2020-03-23,404,4,"Shanghai, China",23019148.0,0,0,7,0
Shanghai,China,31.202,121.4491,2020-03-24,414,4,"Shanghai, China",23019148.0,10,0,8,0
Shanghai,China,31.202,121.4491,2020-03-25,433,5,"Shanghai, China",23019148.0,19,1,10,0
Shanghai,China,31.202,121.4491,2020-03-26,451,5,"Shanghai, China",23019148.0,18,0,12,0
Shanghai,China,31.202,121.4491,2020-03-27,468,5,"Shanghai, China",23019148.0,17,0,13,0
Shanghai,China,31.202,121.4491,2020-03-28,485,5,"Shanghai, China",23019148.0,17,0,15,0
Shanghai,China,31.202,121.4491,2020-03-29,492,5,"Shanghai, China",23019148.0,7,0,12,0
Shanghai,China,31.202,121.4491,2020-03-30,498,5,"Shanghai, China",23019148.0,6,0,13,0
Shanghai,China,31.202,121.4491,2020-03-31,509,5,"Shanghai, China",23019148.0,11,0,13,0
Shanghai,China,31.202,121.4491,2020-04-01,516,6,"Shanghai, China",23019148.0,7,1,11,0
Shanghai,China,31.202,121.4491,2020-04-02,522,6,"Shanghai, China",23019148.0,6,0,10,0
Shanghai,China,31.202,121.4491,2020-04-03,526,6,"Shanghai, China",23019148.0,4,0,8,0
Shanghai,China,31.202,121.4491,2020-04-04,529,6,"Shanghai, China",23019148.0,3,0,6,0
Shanghai,China,31.202,121.4491,2020-04-05,531,6,"Shanghai, China",23019148.0,2,0,5,0
Shanghai,China,31.202,121.4491,2020-04-06,536,6,"Shanghai, China",23019148.0,5,0,5,0
Shanghai,China,31.202,121.4491,2020-04-07,538,6,"Shanghai, China",23019148.0,2,0,4,0
Shanghai,China,31.202,121.4491,2020-04-08,543,7,"Shanghai, China",23019148.0,5,1,3,0
Shanghai,China,31.202,121.4491,2020-04-09,552,7,"Shanghai, China",23019148.0,9,0,4,0
Shanghai,China,31.202,121.4491,2020-04-10,555,7,"Shanghai, China",23019148.0,3,0,4,0
Shanghai,China,31.202,121.4491,2020-04-11,555,7,"Shanghai, China",23019148.0,0,0,3,0
Shanghai,China,31.202,121.4491,2020-04-12,607,7,"Shanghai, China",23019148.0,52,0,10,0
Shanghai,China,31.202,121.4491,2020-04-13,618,7,"Shanghai, China",23019148.0,11,0,11,0
Shanghai,China,31.202,121.4491,2020-04-14,618,7,"Shanghai, China",23019148.0,0,0,11,0
Shanghai,China,31.202,121.4491,2020-04-15,622,7,"Shanghai, China",23019148.0,4,0,11,0
Shanghai,China,31.202,121.4491,2020-04-16,628,7,"Shanghai, China",23019148.0,6,0,10,0
Shanghai,China,31.202,121.4491,2020-04-17,628,7,"Shanghai, China",23019148.0,0,0,10,0
Shanghai,China,31.202,121.4491,2020-04-18,628,7,"Shanghai, China",23019148.0,0,0,10,0
Shanghai,China,31.202,121.4491,2020-04-19,635,7,"Shanghai, China",23019148.0,7,0,4,0
Shanghai,China,31.202,121.4491,2020-04-20,638,7,"Shanghai, China",23019148.0,3,0,2,0
Shanghai,China,31.202,121.4491,2020-04-21,638,7,"Shanghai, China",23019148.0,0,0,2,0
Shanghai,China,31.202,121.4491,2020-04-22,639,7,"Shanghai, China",23019148.0,1,0,2,0
Shanghai,China,31.202,121.4491,2020-04-23,641,7,"Shanghai, China",23019148.0,2,0,1,0
Shanghai,China,31.202,121.4491,2020-04-24,641,7,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-04-25,642,7,"Shanghai, China",23019148.0,1,0,2,0
Shanghai,China,31.202,121.4491,2020-04-26,642,7,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-04-27,644,7,"Shanghai, China",23019148.0,2,0,0,0
Shanghai,China,31.202,121.4491,2020-04-28,645,7,"Shanghai, China",23019148.0,1,0,1,0
Shanghai,China,31.202,121.4491,2020-04-29,647,7,"Shanghai, China",23019148.0,2,0,1,0
Shanghai,China,31.202,121.4491,2020-04-30,652,7,"Shanghai, China",23019148.0,5,0,1,0
Shanghai,China,31.202,121.4491,2020-05-01,652,7,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-05-02,652,7,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-05-03,655,7,"Shanghai, China",23019148.0,3,0,1,0
Shanghai,China,31.202,121.4491,2020-05-04,656,7,"Shanghai, China",23019148.0,1,0,1,0
Shanghai,China,31.202,121.4491,2020-05-05,656,7,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-05-06,657,7,"Shanghai, China",23019148.0,1,0,1,0
Shanghai,China,31.202,121.4491,2020-05-07,657,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-08,657,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-09,659,7,"Shanghai, China",23019148.0,2,0,1,0
Shanghai,China,31.202,121.4491,2020-05-10,659,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-11,659,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-12,660,7,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-05-13,660,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-14,660,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-15,665,7,"Shanghai, China",23019148.0,5,0,1,0
Shanghai,China,31.202,121.4491,2020-05-16,665,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-17,666,7,"Shanghai, China",23019148.0,1,0,1,0
Shanghai,China,31.202,121.4491,2020-05-18,666,7,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-05-19,666,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-20,666,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-21,666,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-22,667,7,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-05-23,668,7,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-05-24,668,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-25,669,7,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-05-26,670,7,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-05-27,671,7,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-05-28,671,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-29,672,7,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-05-30,672,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-05-31,672,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-06-01,673,7,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-06-02,673,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-06-03,673,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-06-04,677,7,"Shanghai, China",23019148.0,4,0,0,0
Shanghai,China,31.202,121.4491,2020-06-05,677,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-06-06,677,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-06-07,678,7,"Shanghai, China",23019148.0,1,0,0,0
Shanghai,China,31.202,121.4491,2020-06-08,678,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-06-09,678,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-06-10,684,7,"Shanghai, China",23019148.0,6,0,1,0
Shanghai,China,31.202,121.4491,2020-06-11,689,7,"Shanghai, China",23019148.0,5,0,1,0
Shanghai,China,31.202,121.4491,2020-06-12,690,7,"Shanghai, China",23019148.0,1,0,1,0
Shanghai,China,31.202,121.4491,2020-06-13,691,7,"Shanghai, China",23019148.0,1,0,2,0
Shanghai,China,31.202,121.4491,2020-06-14,692,7,"Shanghai, China",23019148.0,1,0,2,0
Shanghai,China,31.202,121.4491,2020-06-15,695,7,"Shanghai, China",23019148.0,3,0,2,0
Shanghai,China,31.202,121.4491,2020-06-16,695,7,"Shanghai, China",23019148.0,0,0,2,0
Shanghai,China,31.202,121.4491,2020-06-17,697,7,"Shanghai, China",23019148.0,2,0,1,0
Shanghai,China,31.202,121.4491,2020-06-18,697,7,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-06-19,697,7,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-06-20,698,7,"Shanghai, China",23019148.0,1,0,1,0
Shanghai,China,31.202,121.4491,2020-06-21,701,7,"Shanghai, China",23019148.0,3,0,1,0
Shanghai,China,31.202,121.4491,2020-06-22,701,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-06-23,703,7,"Shanghai, China",23019148.0,2,0,1,0
Shanghai,China,31.202,121.4491,2020-06-24,703,7,"Shanghai, China",23019148.0,0,0,0,0
Shanghai,China,31.202,121.4491,2020-06-25,705,7,"Shanghai, China",23019148.0,2,0,1,0
Shanghai,China,31.202,121.4491,2020-06-26,706,7,"Shanghai, China",23019148.0,1,0,1,0
Shanghai,China,31.202,121.4491,2020-06-27,707,7,"Shanghai, China",23019148.0,1,0,1,0
Shanghai,China,31.202,121.4491,2020-06-28,708,7,"Shanghai, China",23019148.0,1,0,1,0
Shanghai,China,31.202,121.4491,2020-06-29,712,7,"Shanghai, China",23019148.0,4,0,1,0
Shanghai,China,31.202,121.4491,2020-06-30,712,7,"Shanghai, China",23019148.0,0,0,1,0
Shanghai,China,31.202,121.4491,2020-07-01,713,7,"Shanghai, China",23019148.0,1,0,1,0
Shanghai,China,31.202,121.4491,2020-07-02,714,7,"Shanghai, China",23019148.0,1,0,1,0
