Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Antigua and Barbuda,17.0608,-61.7964,2020-02-07,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-08,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-09,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-10,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-11,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-12,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-13,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-14,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-15,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-16,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-17,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-18,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-19,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-20,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-21,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-22,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-23,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-24,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-25,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-26,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-27,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-28,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-02-29,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-01,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-02,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-03,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-04,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-05,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-06,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-07,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-08,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-09,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-10,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-11,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-12,0,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-13,1,0,", Antigua and Barbuda",97929.0,1,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-14,1,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-15,1,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-16,1,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-17,1,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-18,1,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-19,1,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-20,1,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-21,1,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-22,1,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-23,3,0,", Antigua and Barbuda",97929.0,2,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-24,3,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-25,3,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-26,7,0,", Antigua and Barbuda",97929.0,4,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-27,7,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-28,7,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-29,7,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-30,7,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-03-31,7,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-01,7,0,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-02,9,0,", Antigua and Barbuda",97929.0,2,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-03,15,0,", Antigua and Barbuda",97929.0,6,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-04,15,0,", Antigua and Barbuda",97929.0,0,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-05,15,0,", Antigua and Barbuda",97929.0,0,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-06,15,0,", Antigua and Barbuda",97929.0,0,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-07,19,1,", Antigua and Barbuda",97929.0,4,1,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-08,19,2,", Antigua and Barbuda",97929.0,0,1,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-09,19,2,", Antigua and Barbuda",97929.0,0,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-10,19,2,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-11,21,2,", Antigua and Barbuda",97929.0,2,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-12,21,2,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-13,23,2,", Antigua and Barbuda",97929.0,2,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-14,23,2,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-15,23,2,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-16,23,3,", Antigua and Barbuda",97929.0,0,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-17,23,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-18,23,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-19,23,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-20,23,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-21,23,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-22,24,3,", Antigua and Barbuda",97929.0,1,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-23,24,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-24,24,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-25,24,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-26,24,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-27,24,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-28,24,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-29,24,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-04-30,24,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-01,25,3,", Antigua and Barbuda",97929.0,1,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-02,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-03,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-04,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-05,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-06,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-07,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-08,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-09,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-10,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-11,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-12,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-13,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-14,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-15,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-16,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-17,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-18,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-19,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-20,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-21,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-22,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-23,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-24,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-25,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-26,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-27,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-28,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-29,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-30,25,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-05-31,26,3,", Antigua and Barbuda",97929.0,1,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-01,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-02,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-03,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-04,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-05,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-06,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-07,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-08,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-09,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-10,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-11,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-12,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-13,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-14,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-15,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-16,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-17,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-18,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-19,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-20,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-21,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-22,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-23,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-24,26,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-25,65,3,", Antigua and Barbuda",97929.0,39,0,5,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-26,65,3,", Antigua and Barbuda",97929.0,0,0,5,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-27,65,3,", Antigua and Barbuda",97929.0,0,0,5,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-28,69,3,", Antigua and Barbuda",97929.0,4,0,6,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-29,69,3,", Antigua and Barbuda",97929.0,0,0,6,0
,Antigua and Barbuda,17.0608,-61.7964,2020-06-30,69,3,", Antigua and Barbuda",97929.0,0,0,6,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-01,69,3,", Antigua and Barbuda",97929.0,0,0,6,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-02,69,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-03,68,3,", Antigua and Barbuda",97929.0,-1,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-04,68,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-05,68,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-06,70,3,", Antigua and Barbuda",97929.0,2,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-07,70,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-08,70,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-09,73,3,", Antigua and Barbuda",97929.0,3,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-10,74,3,", Antigua and Barbuda",97929.0,1,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-11,74,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-12,74,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-13,74,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-14,74,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-15,74,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-16,74,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-17,76,3,", Antigua and Barbuda",97929.0,2,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-18,76,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-19,76,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-20,76,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-21,76,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-22,76,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-23,76,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-24,82,3,", Antigua and Barbuda",97929.0,6,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-25,82,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-26,82,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-27,86,3,", Antigua and Barbuda",97929.0,4,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-28,86,3,", Antigua and Barbuda",97929.0,0,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-29,91,3,", Antigua and Barbuda",97929.0,5,0,2,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-30,91,3,", Antigua and Barbuda",97929.0,0,0,2,0
,Antigua and Barbuda,17.0608,-61.7964,2020-07-31,91,3,", Antigua and Barbuda",97929.0,0,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-01,91,3,", Antigua and Barbuda",97929.0,0,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-02,91,3,", Antigua and Barbuda",97929.0,0,0,1,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-03,92,3,", Antigua and Barbuda",97929.0,1,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-04,92,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-05,92,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-06,92,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-07,92,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-08,92,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-09,92,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-10,92,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-11,92,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-12,92,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-13,92,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-14,93,3,", Antigua and Barbuda",97929.0,1,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-15,93,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-16,93,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-17,93,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-18,93,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-19,94,3,", Antigua and Barbuda",97929.0,1,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-20,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-21,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-22,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-23,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-24,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-25,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-26,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-27,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-28,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-29,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-30,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-08-31,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-01,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-02,94,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-03,95,3,", Antigua and Barbuda",97929.0,1,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-04,95,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-05,95,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-06,95,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-07,95,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-08,95,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-09,95,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-10,95,3,", Antigua and Barbuda",97929.0,0,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2020-09-11,95,3,", Antigua and Barbuda",97929.0,0,0,0,0
