Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,United Arab Emirates,23.424076,53.847818,2020-01-22,0,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-01-23,0,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-01-24,0,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-01-25,0,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-01-26,0,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-01-27,0,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-01-28,0,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-01-29,4,0,", United Arab Emirates",9890402.0,4,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-01-30,4,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-01-31,4,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-01,4,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-02,5,0,", United Arab Emirates",9890402.0,1,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-03,5,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-04,5,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-05,5,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-06,5,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-07,5,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-08,7,0,", United Arab Emirates",9890402.0,2,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-09,7,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-10,8,0,", United Arab Emirates",9890402.0,1,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-11,8,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-12,8,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-13,8,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-14,8,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-15,8,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-16,9,0,", United Arab Emirates",9890402.0,1,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-17,9,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-18,9,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-19,9,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-20,9,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-21,9,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-22,13,0,", United Arab Emirates",9890402.0,4,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-23,13,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-24,13,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-25,13,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-26,13,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-27,13,0,", United Arab Emirates",9890402.0,0,0,0,0
,United Arab Emirates,23.424076,53.847818,2020-02-28,19,0,", United Arab Emirates",9890402.0,6,0,1,0
,United Arab Emirates,23.424076,53.847818,2020-02-29,21,0,", United Arab Emirates",9890402.0,2,0,1,0
,United Arab Emirates,23.424076,53.847818,2020-03-01,21,0,", United Arab Emirates",9890402.0,0,0,1,0
,United Arab Emirates,23.424076,53.847818,2020-03-02,21,0,", United Arab Emirates",9890402.0,0,0,1,0
,United Arab Emirates,23.424076,53.847818,2020-03-03,27,0,", United Arab Emirates",9890402.0,6,0,2,0
,United Arab Emirates,23.424076,53.847818,2020-03-04,27,0,", United Arab Emirates",9890402.0,0,0,2,0
,United Arab Emirates,23.424076,53.847818,2020-03-05,29,0,", United Arab Emirates",9890402.0,2,0,2,0
,United Arab Emirates,23.424076,53.847818,2020-03-06,29,0,", United Arab Emirates",9890402.0,0,0,1,0
,United Arab Emirates,23.424076,53.847818,2020-03-07,45,0,", United Arab Emirates",9890402.0,16,0,3,0
,United Arab Emirates,23.424076,53.847818,2020-03-08,45,0,", United Arab Emirates",9890402.0,0,0,3,0
,United Arab Emirates,23.424076,53.847818,2020-03-09,45,0,", United Arab Emirates",9890402.0,0,0,3,0
,United Arab Emirates,23.424076,53.847818,2020-03-10,74,0,", United Arab Emirates",9890402.0,29,0,6,0
,United Arab Emirates,23.424076,53.847818,2020-03-11,74,0,", United Arab Emirates",9890402.0,0,0,6,0
,United Arab Emirates,23.424076,53.847818,2020-03-12,85,0,", United Arab Emirates",9890402.0,11,0,8,0
,United Arab Emirates,23.424076,53.847818,2020-03-13,85,0,", United Arab Emirates",9890402.0,0,0,8,0
,United Arab Emirates,23.424076,53.847818,2020-03-14,85,0,", United Arab Emirates",9890402.0,0,0,5,0
,United Arab Emirates,23.424076,53.847818,2020-03-15,98,0,", United Arab Emirates",9890402.0,13,0,7,0
,United Arab Emirates,23.424076,53.847818,2020-03-16,98,0,", United Arab Emirates",9890402.0,0,0,7,0
,United Arab Emirates,23.424076,53.847818,2020-03-17,98,0,", United Arab Emirates",9890402.0,0,0,3,0
,United Arab Emirates,23.424076,53.847818,2020-03-18,113,0,", United Arab Emirates",9890402.0,15,0,5,0
,United Arab Emirates,23.424076,53.847818,2020-03-19,140,0,", United Arab Emirates",9890402.0,27,0,7,0
